"BN/Registration number","Fiscal period end","Form ID","200","210","Name of individual/organization (1)","Country (1)","Amount (1)","Name of individual/organization (2)","Country (2)","Amount (2)","Name of individual/organization (3)","Country (3)","Amount (3)","Charity's Program Country Code (1)","Charity's Program Country Code (2)","Charity's Program Country Code (3)","Charity's Program Country Code (4)","Charity's Program Country Code (5)","Charity's Program Country Code (6)","Charity's Program Country Code (7)","Charity's Program Country Code (8)","Charity's Program Country Code (9)","Charity's Program Country Code (10)","220","230","240","250","260","Item exported (1)","Value (CAN) (1)","Destination (city/region) (1)","Country code (1)","Item exported (2)","Value (CAN) (2)","Destination (city/region) (2)","Country code (2)","Item exported (3)","Value (CAN) (3)","Destination (city/region) (3)","Country code (3)","Item exported (4)","Value (CAN) (4)","Destination (city/region) (4)","Country code (4)"
"118852888RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118852987RR0001",2018-9-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118853068RR0001",2018-9-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118853209RR0001",2018-12-31 00:00:00,"23",$5881.00,"N",,,,,,,,,,"CN",,,,,,,,,,"N",,"N","Y","N",,,,,,,,,,,,,,,,
"118853282RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,,,,,,,,,,"N",,,,,,,,,,,,,,,,,,,,
"118853407RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118853423RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118853456RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118853548RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118853662RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118853720RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118853753RR0001",2018-8-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118853787RR0001",2018-6-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118853795RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118853894RR0001",2018-5-31 00:00:00,"23",,,,,,,,,,,,,,,,,,,,,,"N",,"N","Y","N",,,,,,,,,,,,,,,,
"118854082RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118854165RR0001",2018-6-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118854389RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118854553RR0002",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118854603RR0002",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118854736RR0002",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118854801RR0002",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118854884RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118854892RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118854983RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118855105RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118855204RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118855246RR0002",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118855337RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118855352RR0001",2018-12-31 00:00:00,"23",$1651.00,"Y","Nueva Esperanza, New Hope Ministries, Kingsville Ohio(a US charity)","HN",$1651.00,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118855386RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118855642RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118855659RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118855717RR0001",2018-6-30 00:00:00,"23",$4206.00,"N",,,,,,,,,,"US",,,,,,,,,,"N",,"Y","Y","N",,,,,,,,,,,,,,,,
"118856079RR0001",2018-12-31 00:00:00,"23",,"Y","Paul Naces - True Love in Action (Note in 2018 Sweets Corner Christian Chruch sent a team to visit the mission work)","PH",$7100.00,,,,,,,,,,,,,,,,,"N",,"Y","Y","Y","2 - 40' CONTAINER TO CONVERT T",$14491.00,"MINDANAO","PH","DRY FOOD, SCHOOL & HOUSEHOLD G",$10443.00,"MINDANAO","PH",,,,,,,,
"118856301RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118856335RR0001",2018-12-31 00:00:00,"23",$126569.00,"Y","GROW","UG",$3697.00,"Gospel For India EIN54-1786799 US Charity","IN",$21982.00,,,,"HT","BO","PH","UG","CU","IN",,,,,"N",,"N","Y","N",,,,,,,,,,,,,,,,
"118856467RR0001",2018-12-31 00:00:00,"23",$5000.00,"Y","Nievares Family Ministries","PH",$5000.00,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118856749RR0001",2018-6-30 00:00:00,"23",$356400.00,"Y","RUSSIAN ASSEMBLIES OF GOD","RU",$22518.00,"MARIUSZ MUSCZINKSI-CHURCH IN POLAND","PL",$12860.00,,,,"CU","ET","GT","IN","MZ","PE","PL","RU","TH","ZM","N",,"Y","Y","N",,,,,,,,,,,,,,,,
"118856756RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118856764RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118856822RR0001",2018-12-31 00:00:00,"23",$42554.00,"Y","MIRIAM CHILDREN'S HOME","IN",$21677.00,"DIVINE FELLOWSHIP","IN",$10302.00,"HOUSE OF JOY","IN",$2560.00,"IN","DO",,,,,,,,,"N",,"Y","Y","N",,,,,,,,,,,,,,,,
"118856889RR0001",2018-12-31 00:00:00,"23",$129556.00,"Y","ANYA ALIPOVA","UA",$5972.00,"OSCAR RUIZ OF CHRISTO CENTO","CU",$123584.00,,,,"UA","CU",,,,,,,,,"N",,"Y","Y","N",,,,,,,,,,,,,,,,
"118856962RR0001",2018-6-30 00:00:00,"23",$2176458.00,"Y","CHANGING TIMES","KE",$46512.00,"ASSOCIATION OF INDEPENDENT CHURCHES OF AFRICA","LR",$29475.00,"THE EVANGELIZERS' TEAM MINISTRIES INTERNATIONAL","NG",$112254.00,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118857267RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118857291RR0001",2018-6-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118857366RR0001",2018-6-30 00:00:00,"23",$16520472.00,"Y","Christian Commission for Development","BD",$1088940.00,"Lebanese Society for Education","SY",$1401826.00,"ZOA Refugee Care","QR",$240098.00,"BD","HN","HT","KE","KH","LA","NG","QS","UG","ZM","Y",$7010473.00,"Y","Y","N",,,,,,,,,,,,,,,,
"118857390RR0001",2018-12-31 00:00:00,"23",$58633.00,"Y","Wesly François","HT",$33995.00,"Lava Kush Tiwari","QR",$1035.00,,,,"HT","LR",,,,,,,,,"N",,"Y","Y","N",,,,,,,,,,,,,,,,
"118857432RR0001",2018-12-31 00:00:00,"23",$395826.00,"Y","Pastor support, church building, huricaine relief, feed the children","CU",$164895.00,"Pastor support, church building, huricaine relief, feed the children","HT",$54763.00,"Pastor support, church building","ET",$85742.00,"CU","DO","ET","HN","HT","IL",,,,,"N",,"N","Y","N",,,,,,,,,,,,,,,,
"118857663RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118857754RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118857846RR0001",2018-12-31 00:00:00,"23",$155312.00,"Y","CinA Church Ghana/Taylor Ministries","GH",$15700.00,"Elmer Reifel","SL",$13946.00,,,,"PE","CD","TZ","GB",,,,,,,"N",,"Y","N","N",,,,,,,,,,,,,,,,
"118858000RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118858190RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118858240RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118858265RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118858331RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118858356RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118858471RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,,,,,,,,,,,
"118858489RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118858505RR0001",2018-5-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118858869RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118858901RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118858984RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118858992RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118859024RR0001",2018-2-28 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118859032RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118859180RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118859289RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118859438RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118859453RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118859529RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118859743RR0001",2018-12-31 00:00:00,"23",,"Y","Christian Relief Fund","US",$5799.00,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118859834RR0001",2018-7-31 00:00:00,"23",$39855.00,"Y","Hratchung Leivon","IN",$6000.00,"Joseph Khati","IN",$2000.00,"Jayanta Barman","IN",$13655.00,"IN",,,,,,,,,,"N",,"Y","Y","N",,,,,,,,,,,,,,,,
"118859925RR0001",2018-10-31 00:00:00,"23",$2732.00,"Y","Christian Relief Fund","KE",$2232.00,"Christian Institute of Biblical Studies","QR",$500.00,,,,"HT","KE","GT","QR",,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118859982RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118860097RR0001",2018-12-31 00:00:00,"23",$4786.00,"Y","Raynaldo Ebatados","PH",$3027.00,"Ed Bacani","PH",$1759.00,,,,"PH","PH",,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118860279RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118860303RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118860436RR0001",2018-3-1 00:00:00,"23",,,,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118860451RR0001",2018-9-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118860477RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118860592RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118860634RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118860667RR0001",2018-12-31 00:00:00,"23",$54025.00,"N",,,,,,,,,,"NG","US","GH","JM","IN","PH","MM","QS",,,"N",,"N","Y","N",,,,,,,,,,,,,,,,
"118860725RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118860741RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118860766RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118860824RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118860881RR0001",2018-6-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118860907RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118860972RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118861673RR0002",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118861731RR0002",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118861855RR0002",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N",,,,,,,,,,,,,,,,,
"118861863RR0002",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118861988RR0001",2018-12-31 00:00:00,"23",,"Y","Nicaragua - Health Centre - Instituto Tecnico","NI",$9970.00,"El Salvador Orphanages","SV",$8205.00,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118862051RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118862283RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118862374RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118862390RR0002",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118862762RR0001",2018-12-31 00:00:00,"23",$1700.00,"Y","LUDLOW MILLER","JM",$1700.00,,,,,,,"JM",,,,,,,,,,"N",,"Y","N","N",,,,,,,,,,,,,,,,
"118862812RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118862838RR0001",2018-6-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118862895RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118863117RR0001",2018-5-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118863299RR0001",2018-4-30 00:00:00,"23",$5459.00,"N",,,,,,,,,,"RW",,,,,,,,,,"N",,"N","Y","N",,,,,,,,,,,,,,,,
"118863356RR0001",2018-4-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118863695RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118863729RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118863778RR0002",2018-12-31 00:00:00,"23",,,,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118863943RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118863976RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118863984RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118864016RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118864040RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118864156RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118864602RR0001",2018-7-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,,,,,,,,,,,,,,,,,,,
"118864750RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"118864826RR0001",2018-8-31 00:00:00,"23",$10376.00,"N",,,,,,,,,,"CU",,,,,,,,,,"N",,"Y","N","N",,,,,,,,,,,,,,,,
